gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4062563789,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150669905,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Santa Cruz,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-50.378162,-68.955666,26389,NA,NA,NA,NA,NA,2023-03-01T12:14:00Z,1,3,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150669905,NA,Mica Fraire,2023-03-09T18:17:30Z,CC_BY_NC_4_0,Mica Fraire,Mica Fraire,NA,NA,2023-04-19T13:26:35Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062541919,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150758065,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Chubut,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-44.072769,-65.335761,27380,NA,NA,NA,NA,NA,2023-03-06T14:57:00Z,6,3,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150758065,NA,Pablo Fraire,2023-03-10T20:15:22Z,CC_BY_NC_4_0,Pablo Fraire,Pablo Fraire,NA,NA,2023-04-19T13:14:23Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4062541884,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150729407,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Santa Cruz,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-52.235164,-68.509713,26068,NA,NA,NA,NA,NA,2023-02-28T10:59:00Z,28,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150729407,NA,Pablo Fraire,2023-03-10T13:25:54Z,CC_BY_NC_4_0,Pablo Fraire,Pablo Fraire,NA,NA,2023-04-19T13:25:50Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4055066151,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150369321,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Chubut,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-42.271314,-63.76222,52837,NA,NA,NA,NA,NA,2023-01-08T20:40:41Z,8,1,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150369321,NA,Emily Christian,2023-03-06T01:27:08Z,CC_BY_NC_4_0,Emily Christian,Emily Christian,NA,NA,2023-04-19T13:25:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4055055318,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150516513,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Chubut,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-42.4782,-64.206024,27630,NA,NA,NA,NA,NA,2023-02-27T11:25:00Z,27,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150516513,NA,Allan Harris,2023-03-07T20:33:52Z,CC0_1_0,Allan Harris,Allan Harris,NA,NA,2023-04-19T13:22:34Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4055049915,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150167302,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,CL,NA,Magallanes y Antártica Chilena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.929079,-67.602163,828,NA,NA,NA,NA,NA,2023-02-14T12:53:00Z,14,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150167302,NA,Michelle Goerdel,2023-03-04T00:10:14Z,CC_BY_NC_4_0,Michelle Goerdel,Michelle Goerdel,NA,NA,2023-04-19T13:21:40Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4055024561,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149246642,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.741195,-59.655344,28210,NA,NA,NA,NA,NA,2023-02-20T12:39:39Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149246642,NA,Alejandro Duvieilh,2023-02-20T17:52:07Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:26:11Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4055011829,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150143001,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.845077,-60.122122,28181,NA,NA,NA,NA,NA,2023-02-18T15:16:00Z,18,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150143001,NA,Analía Belaus,2023-03-03T18:17:06Z,CC_BY_NC_4_0,Analía Belaus,Analía Belaus,NA,NA,2023-04-19T13:20:06Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4054993264,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150489672,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Tierra del Fuego,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.821126,-67.741732,25654,NA,NA,NA,NA,NA,2023-02-25T14:38:00Z,25,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150489672,NA,stefan hochreutener,2023-03-07T14:05:52Z,CC_BY_NC_4_0,stefan hochreutener,stefan hochreutener,NA,NA,2023-04-19T13:17:41Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4054990239,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150450657,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Chubut,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.144802,-66.532191,27222,NA,NA,NA,NA,NA,2023-01-13T20:23:25Z,13,1,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,150450657,NA,Emily Christian,2023-03-07T00:10:03Z,CC_BY_NC_4_0,Emily Christian,Emily Christian,NA,NA,2023-04-19T13:20:22Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
